date_key,date ,year,month,day,week,quarter,day_in_week,month_name,day_name
271,9/28/2019,2019,9,28,39,3,7,September,Tuesday
272,9/29/2019,2019,9,29,40,3,1,September,Tuesday
273,9/30/2019,2019,9,30,40,3,2,September,Tuesday
274,10/1/2019,2019,10,1,40,4,3,October,Tuesday
275,10/2/2019,2019,10,2,40,4,4,October,Tuesday
276,10/3/2019,2019,10,3,40,4,5,October,Tuesday
277,10/4/2019,2019,10,4,40,4,6,October,Tuesday
278,10/5/2019,2019,10,5,40,4,7,October,Tuesday
279,10/6/2019,2019,10,6,41,4,1,October,Tuesday
280,10/7/2019,2019,10,7,41,4,2,October,Tuesday
281,10/8/2019,2019,10,8,41,4,3,October,Tuesday
282,10/9/2019,2019,10,9,41,4,4,October,Tuesday
283,10/10/2019,2019,10,10,41,4,5,October,Tuesday
284,10/11/2019,2019,10,11,41,4,6,October,Tuesday
285,10/12/2019,2019,10,12,41,4,7,October,Tuesday
286,10/13/2019,2019,10,13,42,4,1,October,Tuesday
287,10/14/2019,2019,10,14,42,4,2,October,Tuesday
288,10/15/2019,2019,10,15,42,4,3,October,Tuesday
289,10/16/2019,2019,10,16,42,4,4,October,Tuesday
290,10/17/2019,2019,10,17,42,4,5,October,Tuesday
291,10/18/2019,2019,10,18,42,4,6,October,Tuesday
292,10/19/2019,2019,10,19,42,4,7,October,Tuesday
293,10/20/2019,2019,10,20,43,4,1,October,Tuesday
294,10/21/2019,2019,10,21,43,4,2,October,Tuesday
295,10/22/2019,2019,10,22,43,4,3,October,Tuesday
296,10/23/2019,2019,10,23,43,4,4,October,Tuesday
297,10/24/2019,2019,10,24,43,4,5,October,Tuesday
298,10/25/2019,2019,10,25,43,4,6,October,Tuesday
299,10/26/2019,2019,10,26,43,4,7,October,Tuesday
300,10/27/2019,2019,10,27,44,4,1,October,Tuesday
301,10/28/2019,2019,10,28,44,4,2,October,Tuesday
302,10/29/2019,2019,10,29,44,4,3,October,Tuesday
303,10/30/2019,2019,10,30,44,4,4,October,Tuesday
304,10/31/2019,2019,10,31,44,4,5,October,Tuesday
305,11/1/2019,2019,11,1,44,4,6,November,Tuesday
306,11/2/2019,2019,11,2,44,4,7,November,Tuesday
307,11/3/2019,2019,11,3,45,4,1,November,Tuesday
308,11/4/2019,2019,11,4,45,4,2,November,Tuesday
309,11/5/2019,2019,11,5,45,4,3,November,Tuesday
310,11/6/2019,2019,11,6,45,4,4,November,Tuesday
311,11/7/2019,2019,11,7,45,4,5,November,Tuesday
312,11/8/2019,2019,11,8,45,4,6,November,Tuesday
313,11/9/2019,2019,11,9,45,4,7,November,Tuesday
314,11/10/2019,2019,11,10,46,4,1,November,Tuesday
315,11/11/2019,2019,11,11,46,4,2,November,Tuesday
316,11/12/2019,2019,11,12,46,4,3,November,Tuesday
317,11/13/2019,2019,11,13,46,4,4,November,Tuesday
318,11/14/2019,2019,11,14,46,4,5,November,Tuesday
319,11/15/2019,2019,11,15,46,4,6,November,Tuesday
320,11/16/2019,2019,11,16,46,4,7,November,Tuesday
321,11/17/2019,2019,11,17,47,4,1,November,Tuesday
322,11/18/2019,2019,11,18,47,4,2,November,Tuesday
323,11/19/2019,2019,11,19,47,4,3,November,Tuesday
324,11/20/2019,2019,11,20,47,4,4,November,Tuesday
325,11/21/2019,2019,11,21,47,4,5,November,Tuesday
326,11/22/2019,2019,11,22,47,4,6,November,Tuesday
327,11/23/2019,2019,11,23,47,4,7,November,Tuesday
328,11/24/2019,2019,11,24,48,4,1,November,Tuesday
329,11/25/2019,2019,11,25,48,4,2,November,Tuesday
330,11/26/2019,2019,11,26,48,4,3,November,Tuesday
331,11/27/2019,2019,11,27,48,4,4,November,Tuesday
332,11/28/2019,2019,11,28,48,4,5,November,Tuesday
333,11/29/2019,2019,11,29,48,4,6,November,Tuesday
334,11/30/2019,2019,11,30,48,4,7,November,Tuesday
335,12/1/2019,2019,12,1,49,4,1,December,Tuesday
336,12/2/2019,2019,12,2,49,4,2,December,Tuesday
337,12/3/2019,2019,12,3,49,4,3,December,Tuesday
338,12/4/2019,2019,12,4,49,4,4,December,Tuesday
339,12/5/2019,2019,12,5,49,4,5,December,Tuesday
340,12/6/2019,2019,12,6,49,4,6,December,Tuesday
341,12/7/2019,2019,12,7,49,4,7,December,Tuesday
342,12/8/2019,2019,12,8,50,4,1,December,Tuesday
343,12/9/2019,2019,12,9,50,4,2,December,Tuesday
344,12/10/2019,2019,12,10,50,4,3,December,Tuesday
345,12/11/2019,2019,12,11,50,4,4,December,Tuesday
346,12/12/2019,2019,12,12,50,4,5,December,Tuesday
347,12/13/2019,2019,12,13,50,4,6,December,Tuesday
348,12/14/2019,2019,12,14,50,4,7,December,Tuesday
349,12/15/2019,2019,12,15,51,4,1,December,Tuesday
350,12/16/2019,2019,12,16,51,4,2,December,Tuesday
351,12/17/2019,2019,12,17,51,4,3,December,Tuesday
352,12/18/2019,2019,12,18,51,4,4,December,Tuesday
353,12/19/2019,2019,12,19,51,4,5,December,Tuesday
354,12/20/2019,2019,12,20,51,4,6,December,Tuesday
355,12/21/2019,2019,12,21,51,4,7,December,Tuesday
356,12/22/2019,2019,12,22,52,4,1,December,Tuesday
357,12/23/2019,2019,12,23,52,4,2,December,Tuesday
358,12/24/2019,2019,12,24,52,4,3,December,Tuesday
